Entity Name,Description,Category,Views,View Highlight,Area,Sub Area,Image,Link,DeSmog Profile,Show,Fixed,X,Y,More Info
Ontario Proud,,,"1,6,7,12","7,12",,,,,,TRUE,TRUE,789,735.2,
Ontario Strong,,,"1,6,7",7,,,,,,TRUE,TRUE,789,935.2,
Ovintiv,,,"1,1,16",16,,,,,,TRUE,TRUE,789,210.2,
Pathways Alliance,,,"1,13,14","13,14",,,https://i.ibb.co/h1CQ5HJr/Pathways.jpg,,,TRUE,TRUE,189,360.2,
Peter Gilgan,,,"1,11,12","11,12",,,,,,TRUE,TRUE,1139,485.2,
Pierre Poilievre,,,"1,11",11,,,https://i.ibb.co/HfqS5TTy/Pierre.png,,,TRUE,TRUE,714,1110.2,
Proudly New Brunswick,,,"1,6,7",7,,,,,,TRUE,TRUE,764,860.2,
Quebec Proud,,,"1,6,7",7,,,,,,TRUE,TRUE,739,785.2,
Questerre Energy,,,"1,13,16","13,16",,,,,,TRUE,TRUE,489,210.2,
Saskatchewan Strong,,,"1,6,7",7,,,,,,TRUE,TRUE,714,860.2,
Second Street,,,"1,2",,,,https://i.ibb.co/BHp8dYvZ/Second-Street.png,,https://www.desmog.com/secondstreet-org/,TRUE,TRUE,514,785.2,
Suncor,,,"1,13,14,16","13,14,16",,,https://i.ibb.co/MyFDxPWn/Suncor.png,,,TRUE,TRUE,414,210.2,
Tourmaline Oil,,,"1,13,11,16","13,16",,,,,,TRUE,TRUE,639,210.2,
Waterous Energy,,,"1,11,13",13,,,,,,TRUE,TRUE,564,210.2,
West Coast Proud,,,"1,6,7",7,,,,,,TRUE,TRUE,739,835.2,
