A,B,Source,Note,Text,Link Size
Charles Koch,Fraser Institute,https://www.fraserinstitute.org/sites/default/files/2025-05/fi-2024-annual-report_0.pdf,Donation,Fraser was supported by the Charles Koch Institute in 2024 and 2023.,1
Danielle Smith,Canadian Energy Centre,,,,1
Danielle Smith,Juno News,,,,1
Ezra Levant/Rebel News,Canada Strong and Free Network,,,,1
Fraser Institute,Atlas Network,,,The Fraser Institute is a member of the Atlas network.,1
Friends of Free Enterprise Canada,Pierre Poilievre,https://www.elections.ca/fin/oth/thi/advert/tp45/TP-0084_due7.pdf,Advertising,Friends of Free Enterprise Canada paid for ads supporting Pierre Poilivere in major Canadian newspapers.,1
Frontier Centre for Public Policy,Atlas Network,,,The Frontier Centre for Public Policy is a member of the Atlas network.,1
Gwyn Morgan,Canada Strong and Free Network,https://www.desmog.com/canada-strong-and-free-network/,Board Member,Gwyn Morgan was a member of the Canada Strong and Free Network (previously known as the Manning Centre) as recently as 2019.,1
Gwyn Morgan,Fraser Institute,https://www.fraserinstitute.org/sites/default/files/2024-10/fi-2023-annual-report_1.pdf,Board of Directors,Gwyn Morgan was on the board of directors at the Fraser Institute as recently as 2023.,1
Gwyn Morgan,Friends of Free Enterprise Canada,,Financed,Morgan backed Pierre Poilievre in the 2025 election.,1
Gwyn Morgan,Gwyn Morgan and Patricia Trottier Foundation,,,,1
Gwyn Morgan,National Post,https://financialpost.com/tag/gwyn-morgan/,Contributor,"Gwyn Morgan is regular contributor to Financial Post/National Post, including this column calling for more pipelines: https://epaper.nationalpost.com/article/281878714117117",1
Gwyn Morgan,Pierre Poilievre,https://www.elections.ca/content.aspx?section=fin&dir=cont&document=index&lang=e,Donation,Morgan donated to Polievre’s campaign and has donated to Conservatives nearly 90 times in his life.,1
Gwyn Morgan and Patricia Trottier Foundation,Canada Strong and Free Network,,Donation,,1
Gwyn Morgan and Patricia Trottier Foundation,Canadian Constititution Foundation,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $100,000 CAD to the Canadian Constititution Foundation.",1
Gwyn Morgan and Patricia Trottier Foundation,Frontier Centre for Public Policy,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Frontier Centre for Public Policy",1
Gwyn Morgan and Patricia Trottier Foundation,Institute Économique de Montréal,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Institute Économique de Montréal.",1
Gwyn Morgan and Patricia Trottier Foundation,Institute for Liberal Studies,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $50,000 CAD to the Institute for Liberal Studies.",1
Gwyn Morgan and Patricia Trottier Foundation,Justice Centre for Constitutional Freedom,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $75,000 CAD to the Justice Centre for Constitutional Freedom.",1
Gwyn Morgan and Patricia Trottier Foundation,Second Street,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en,Donation,"In 2024, Gwyn Morgan's foundation gave $200,000 CAD to Second Street.",1
Gwyn Morgan and Patricia Trottier Foundation,Juno News,https://www.desmog.com/2024/10/28/fracking-pioneer-gwyn-morgan-gave-530k-to-anti-climate-website-true-north/,Donation,"Gwyn Morgan's foundation donated $300,000 to True North, who covered the 2025 campaign without naming Morgan, a possible violation of charitable laws that prohibit direct partisan activity.",1
Imperial Oil,Fraser Institute,,Donation,Fraser Institute has received regular donations from Imperial Oil.,1
Imperial Oil,Macdonald Laurier Institute,https://www.desmog.com/2022/07/26/climate-leader-netflix-donated-to-rightwing-think-tank/,Donation,Imperial has donated regularly to the Macdonald Laurier Institute,1
Imperial Oil,Pathways Alliance,https://www.desmog.com/pathways-alliance/,Member,Imperial Oil is a member of the Pathways Alliance.,1
Institute Économique de Montréal,Atlas Network,,Member,The Institute Économique de Montréal is a member of the Atlas network.,1
Institute for Liberal Studies,Atlas Network,,Member,The Institute for Liberal Studies is a member of the Atlas network.,1
Justice Centre for Constitutional Freedom,Atlas Network,,Member,The Justice Centre for Constitutional Freedom is a member of the Atlas network.,1
Macdonald Laurier Institute,Atlas Network,,Member,The Macdonald Laurier Institute is a member of the Atlas network.,1
Michael Binnion,Canada Strong and Free Network,https://www.desmog.com/canada-strong-and-free-network/,Board of Directors,Canada Strong and Free is closely tied to Michael Binnion and his Modern Miracle Network.,1
Newfoundland Proud,Canada Proud,,,,1
Newfoundland Proud,Canada Strong and Proud/Proud to Be a Canadian,,,,1
Nova Scotia Proud,Canada Proud,,,,1
Nova Scotia Proud,Canada Strong and Proud/Proud to Be a Canadian,,,,1
Pierre Poilievre,Brian Felesky,,,,1
