A,B,Note,Source,Text
Rob Anderson,Free Alberta Strategy,Member,https://www.producer.com/news/alberta-the-nation-mlas-seek-sovereignty/,"Rob Anderson, <i>Member</i>:<br>Free Alberta Strategy"
Todd Loewen,Free Alberta Strategy,Supporter,https://www.producer.com/news/alberta-the-nation-mlas-seek-sovereignty/,"Todd Loewen, <i>Supporter</i>:<br>Free Alberta Strategy"
Alberta Prosperity Project,Helen Holder,Endorsed,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Alberta Prosperity Project, <i>Endorsed</i>:<br>Helen Holder"
Artur Pawlowski,Independence Party of Alberta,Former leader,https://en.wikipedia.org/wiki/Artur_Pawlowski,"Artur Pawlowski, <i>Former leader</i>:<br>Independence Party of Alberta"
Bob Blayone,Independence Party of Alberta,Candidate,https://web.archive.org/web/20230119014348/https://chatnewstoday.ca/2022/10/19/independence-party-of-alberta-fielding-candidate-in-brooks-medicine-hat-byelection/,"Bob Blayone, <i>Candidate</i>:<br>Independence Party of Alberta"
Charlene Schramm,Independence Party of Alberta,CFO,,"Charlene Schramm, <i>CFO</i>:<br>Independence Party of Alberta"
Cory Morgan,Independence Party of Alberta,Founder,https://separationalberta.com/candidates/cmorgan.asp,"Cory Morgan, <i>Founder</i>:<br>Independence Party of Alberta"
Dave Bjorkman,Independence Party of Alberta,Former leader,https://web.archive.org/web/20180803223820/https://albertaindependenceparty.net/who-we-are/,"Dave Bjorkman, <i>Former leader</i>:<br>Independence Party of Alberta"
Dave Campbell,Independence Party of Alberta,Former leader,https://daveberta.ca/tag/dave-campbell/,"Dave Campbell, <i>Former leader</i>:<br>Independence Party of Alberta"
Katherine Kowalchuk,Independence Party of Alberta,Former leader,,"Katherine Kowalchuk, <i>Former leader</i>:<br>Independence Party of Alberta"
Ron Robertson,Independence Party of Alberta,President,,"Ron Robertson, <i>President</i>:<br>Independence Party of Alberta"
Vicky Bayford,Independence Party of Alberta,Former leader,,"Vicky Bayford, <i>Former leader</i>:<br>Independence Party of Alberta"
Alberta Prosperity Project,Irma Roberts,Endorsed,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Alberta Prosperity Project, <i>Endorsed</i>:<br>Irma Roberts"
Art Hanger,Republican Party of Alberta,"VP, Policy",https://albertarepublicans.com/about/,"Art Hanger, <i>VP, Policy</i>:<br>Republican Party of Alberta"
Cam Davies,Republican Party of Alberta,Party leader,https://albertarepublicans.com/about/,"Cam Davies, <i>Party leader</i>:<br>Republican Party of Alberta"
Daniel Warwick,Republican Party of Alberta,CFO,https://albertarepublicans.com/about/,"Daniel Warwick, <i>CFO</i>:<br>Republican Party of Alberta"
Independence Party of Alberta,Republican Party of Alberta,Signed MOU,https://rdnewsnow.com/2025/05/06/albertas-republican-and-independence-parties-join-forces-react-to-smith-and-separatism/,"Independence Party of Alberta, <i>Signed MOU</i>:<br>Republican Party of Alberta"
Josh Smith,Republican Party of Alberta,Provincial director,https://albertarepublicans.com/about/,"Josh Smith, <i>Provincial director</i>:<br>Republican Party of Alberta"
Peter Weichler,Republican Party of Alberta,Provincial director,https://albertarepublicans.com/about/,"Peter Weichler, <i>Provincial director</i>:<br>Republican Party of Alberta"
Sarah Negussie,Republican Party of Alberta,President,https://albertarepublicans.com/about/,"Sarah Negussie, <i>President</i>:<br>Republican Party of Alberta"
Alberta Prosperity Project,Samantha Steinke,Endorsed,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Alberta Prosperity Project, <i>Endorsed</i>:<br>Samantha Steinke"
Artur Pawlowski,Solidarity Movement of Alberta,Co-founder,https://daveberta.ca/2023/05/independent-mla-drew-barnes-not-running-for-re-election-two-new-right-wing-parties-announced/,"Artur Pawlowski, <i>Co-founder</i>:<br>Solidarity Movement of Alberta"
Rob Anders,Solidarity Movement of Alberta,Co-founder,https://daveberta.ca/2023/05/independent-mla-drew-barnes-not-running-for-re-election-two-new-right-wing-parties-announced/,"Rob Anders, <i>Co-founder</i>:<br>Solidarity Movement of Alberta"
Mitch Sylvestre,Stay Free Alberta,De facto leader,https://stayfreealberta.com/,"Mitch Sylvestre, <i>De facto leader</i>:<br>Stay Free Alberta"
Benita Pedersen,Take Back Alberta,Organizer,https://pressprogress.ca/take-back-alberta-organizer-leading-campaign-against-rainbow-crosswalk-in-small-town-alberta/,"Benita Pedersen, <i>Organizer</i>:<br>Take Back Alberta"
David Parker,Take Back Alberta,Founder,https://thetyee.ca/News/2025/10/02/Parker-Vows-Take-Back-Alberta-Escape-Punishment/,"David Parker, <i>Founder</i>:<br>Take Back Alberta"
Jonathan Heidebrecht,Take Back Alberta,Former CFO,https://www.cbc.ca/news/canada/calgary/david-parker-take-back-alberta-fines-political-advertising-1.7450567,"Jonathan Heidebrecht, <i>Former CFO</i>:<br>Take Back Alberta"
Marco Van Huigenbos,Take Back Alberta,Former CFO,,"Marco Van Huigenbos, <i>Former CFO</i>:<br>Take Back Alberta"
Andy Ogles,U.S. Republican Party,Congressman (TN),https://en.wikipedia.org/wiki/Andy_Ogles,"Andy Ogles, <i>Congressman (TN)</i>:<br>U.S. Republican Party"
Donald Trump,U.S. Republican Party,U.S. President,https://en.wikipedia.org/wiki/Donald_Trump,"Donald Trump, <i>U.S. President</i>:<br>U.S. Republican Party"
Scott Bessent,U.S. Republican Party,U.S. Treasury Secretary,https://en.wikipedia.org/wiki/Scott_Bessent,"Scott Bessent, <i>U.S. Treasury Secretary</i>:<br>U.S. Republican Party"
Steve Bannon,U.S. Republican Party,Supporter,https://en.wikipedia.org/wiki/Steve_Bannon,"Steve Bannon, <i>Supporter</i>:<br>U.S. Republican Party"
Chantelle de Jonge,U.S. Republican Party,Meetings,https://www.alberta.ca/travel-and-expense-disclosure-table,"Chantelle de Jonge, <i>Meetings</i>:<br>U.S. Republican Party"
Brian Jean,U.S. Republican Party,Meetings,https://www.alberta.ca/travel-and-expense-disclosure-table,"Brian Jean, <i>Meetings</i>:<br>U.S. Republican Party"
Danielle Smith,U.S. Republican Party,Meetings,https://www.alberta.ca/travel-and-expense-disclosure-table,"Danielle Smith, <i>Meetings</i>:<br>U.S. Republican Party"
Nathan Cooper,U.S. Republican Party,Meetings,https://www.alberta.ca/travel-and-expense-disclosure-table,"Nathan Cooper, <i>Meetings</i>:<br>U.S. Republican Party"
Adriana LaGrange,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Adriana LaGrange, <i>Member</i>:<br>United Conservative Party of Alberta"
Al Biel,United Conservative Party of Alberta,Officer,https://edmontonjournal.com/news/politics/independence-supporters-take-ucp-board-positions,"Al Biel, <i>Officer</i>:<br>United Conservative Party of Alberta"
Andrew Boitchenko,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Andrew Boitchenko, <i>Member</i>:<br>United Conservative Party of Alberta"
Angela Pitt,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Angela Pitt, <i>Member</i>:<br>United Conservative Party of Alberta"
Brandon Lunty,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Brandon Lunty, <i>Member</i>:<br>United Conservative Party of Alberta"
Brian Jean,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Brian Jean, <i>Member</i>:<br>United Conservative Party of Alberta"
Cam Davies,United Conservative Party of Alberta,Former member,,"Cam Davies, <i>Former member</i>:<br>United Conservative Party of Alberta"
Chantelle de Jonge,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Chantelle de Jonge, <i>Member</i>:<br>United Conservative Party of Alberta"
Chelsea Petrovic,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Chelsea Petrovic, <i>Member</i>:<br>United Conservative Party of Alberta"
Cory Morgan,United Conservative Party of Alberta,Wildrose member,https://en.wikipedia.org/wiki/Cory_Morgan_(blogger),"Cory Morgan, <i>Wildrose member</i>:<br>United Conservative Party of Alberta"
Dale Nally,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Dale Nally, <i>Member</i>:<br>United Conservative Party of Alberta"
Dan Williams,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Dan Williams, <i>Member</i>:<br>United Conservative Party of Alberta"
Danielle Smith,United Conservative Party of Alberta,Leader,,"Danielle Smith, <i>Leader</i>:<br>United Conservative Party of Alberta"
Darrell Komick,United Conservative Party of Alberta,Member,,"Darrell Komick, <i>Member</i>:<br>United Conservative Party of Alberta"
Demetrios Nicolaides,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Demetrios Nicolaides, <i>Member</i>:<br>United Conservative Party of Alberta"
Dennis Modry,United Conservative Party of Alberta,Saught nomination,https://daveberta.ca/2023/02/ucp-nomination-candidate-tanya-clemens-attends-christine-anderson-event-former-alberta-prosperity-project-ceo-dr-dennis-modry-running-for-ucp-nomination-in-edmonton-riverview/,"Dennis Modry, <i>Saught nomination</i>:<br>United Conservative Party of Alberta"
Derek Fildebrandt,United Conservative Party of Alberta,Former member,,"Derek Fildebrandt, <i>Former member</i>:<br>United Conservative Party of Alberta"
Devin Dreeshen,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Devin Dreeshen, <i>Member</i>:<br>United Conservative Party of Alberta"
Drew Barnes,United Conservative Party of Alberta,Member,https://en.wikipedia.org/wiki/Drew_Barnes,"Drew Barnes, <i>Member</i>:<br>United Conservative Party of Alberta"
Eric Bouchard,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Eric Bouchard, <i>Member</i>:<br>United Conservative Party of Alberta"
Garth Rowswell,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Garth Rowswell, <i>Member</i>:<br>United Conservative Party of Alberta"
Grant Hunter,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Grant Hunter, <i>Member</i>:<br>United Conservative Party of Alberta"
Helen Holder,United Conservative Party of Alberta,"VP, Fundraising",,"Helen Holder, <i>VP, Fundraising</i>:<br>United Conservative Party of Alberta"
Irma Roberts,United Conservative Party of Alberta,Officer,,"Irma Roberts, <i>Officer</i>:<br>United Conservative Party of Alberta"
Jackie Armstrong-Homeniuk,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Jackie Armstrong-Homeniuk, <i>Member</i>:<br>United Conservative Party of Alberta"
Jackie Lovely,United Conservative Party of Alberta,Member,https://albertawatch.ca/en,"Jackie Lovely, <i>Member</i>:<br>United Conservative Party of Alberta"
