A,B,Note,Source,Text
Marc Chayer,Alberta Prosperity Project,Former director,https://www.desmog.com/alberta-prosperity-project/,"Marc Chayer, <i>Former director</i>:<br>Alberta Prosperity Project"
Doug Melvin Elzinga,Alberta Prosperity Project,Member,https://www.desmog.com/alberta-prosperity-project/,"Doug Melvin Elzinga, <i>Member</i>:<br>Alberta Prosperity Project"
Pam Lehr,Alberta Prosperity Project,Former events coord.,https://web.archive.org/web/20221212234841/https://albertaprosperityproject.com/about-us/,"Pam Lehr, <i>Former events coord.</i>:<br>Alberta Prosperity Project"
Will Stayer,Alberta Prosperity Project,Former VP,https://web.archive.org/web/20221212234841/https://albertaprosperityproject.com/about-us/,"Will Stayer, <i>Former VP</i>:<br>Alberta Prosperity Project"
Walter Harris-DeMelo,Alberta Prosperity Project,Former VP,https://web.archive.org/web/20221212234841/https://albertaprosperityproject.com/about-us/,"Walter Harris-DeMelo, <i>Former VP</i>:<br>Alberta Prosperity Project"
Rejean Lavoie,Alberta Prosperity Project,Former COO,https://web.archive.org/web/20221212234841/https://albertaprosperityproject.com/about-us/,"Rejean Lavoie, <i>Former COO</i>:<br>Alberta Prosperity Project"
Dennis Modry,Wildrose Independence Party,Former VP,https://www.desmog.com/alberta-prosperity-project/,"Dennis Modry, <i>Former VP</i>:<br>Wildrose Independence Party"
Peter Downing,Wildrose Independence Party,Founded predecessor,https://www.desmog.com/alberta-prosperity-project/,"Peter Downing, <i>Founded predecessor</i>:<br>Wildrose Independence Party"
Lawrence Courtoreille,Alberta Prosperity Project,Former VP,https://www.desmog.com/alberta-prosperity-project/,"Lawrence Courtoreille, <i>Former VP</i>:<br>Alberta Prosperity Project"
Alain Gauthier,Alberta Prosperity Project,Former VP,https://www.desmog.com/alberta-prosperity-project/,"Alain Gauthier, <i>Former VP</i>:<br>Alberta Prosperity Project"
Tanner Hnidey,Alberta Prosperity Project,Former VP,https://www.desmog.com/alberta-prosperity-project/,"Tanner Hnidey, <i>Former VP</i>:<br>Alberta Prosperity Project"
Rob Patterson,Alberta Prosperity Project,Former member,https://www.desmog.com/alberta-prosperity-project/,"Rob Patterson, <i>Former member</i>:<br>Alberta Prosperity Project"
Tara Sawyer,Alberta Next Panel,Member,https://www.albertanextpanel.ca/panel-membership,"Tara Sawyer, <i>Member</i>:<br>Alberta Next Panel"
Glenn van Dijken,Alberta Next Panel,Member,https://www.albertanextpanel.ca/panel-membership,"Glenn van Dijken, <i>Member</i>:<br>Alberta Next Panel"
Brandon Lunty,Alberta Next Panel,Member,https://www.albertanextpanel.ca/panel-membership,"Brandon Lunty, <i>Member</i>:<br>Alberta Next Panel"
Rebecca Schulz,Alberta Next Panel,Member,https://www.albertanextpanel.ca/panel-membership,"Rebecca Schulz, <i>Member</i>:<br>Alberta Next Panel"
Danielle Smith,Alberta Next Panel,Member,https://www.albertanextpanel.ca/panel-membership,"Danielle Smith, <i>Member</i>:<br>Alberta Next Panel"
Rebecca Schulz,United Conservative Party of Alberta,Member,https://www.albertanextpanel.ca/panel-membership,"Rebecca Schulz, <i>Member</i>:<br>United Conservative Party of Alberta"
Fred Munn,Republican Party of Alberta,Candidate,https://albertarepublicans.com/candidates/,"Fred Munn, <i>Candidate</i>:<br>Republican Party of Alberta"
Ravina Chand,Republican Party of Alberta,Candidate,https://albertarepublicans.com/candidates/,"Ravina Chand, <i>Candidate</i>:<br>Republican Party of Alberta"
Jeff Rath,Stay Free Alberta,Lawyer,https://globalnews.ca/news/11638672/calgary-lineup-alberta-separation-petition/,"Jeff Rath, <i>Lawyer</i>:<br>Stay Free Alberta"
Gregory Hartzler,Stay Free Alberta,CFO,https://calgary.citynews.ca/2026/01/12/calgary-alberta-independence-petition/,"Gregory Hartzler, <i>CFO</i>:<br>Stay Free Alberta"
Darrell Komick,Stay Free Alberta,Attended event,https://www.westernstandard.news/news/thousands-pack-calgary-venue-in-major-show-of-support-for-alberta-independence/70680,"Darrell Komick, <i>Attended event</i>:<br>Stay Free Alberta"
